County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Alachua,12001,0.0049,0.0019,0.0075,0.013,Florida,2026-06-10
Baker,12003,0.0041,0.0015,0.0015,0.0015,Florida,2026-06-10
Bay,12005,0.0077,0.0098,0.0102,0.0107,Florida,2026-06-10
Bradford,12007,0.0834,0.1357,0.1357,0.1357,Florida,2026-06-10
Brevard,12009,0.0043,0.0031,0.0033,0.0034,Florida,2026-06-10
Broward,12011,0.0017,0.0003,0.0004,0.0006,Florida,2026-06-10
Calhoun,12013,0.0,0.0,0.0,0.0,Florida,2026-06-10
Charlotte,12015,0.0066,0.0028,0.0035,0.0041,Florida,2026-06-10
Citrus,12017,0.0058,0.0051,0.0051,0.0051,Florida,2026-06-10
Clay,12019,0.007,0.0126,0.0126,0.0126,Florida,2026-06-10
Collier,12021,0.0073,0.0008,0.0039,0.007,Florida,2026-06-10
Columbia,12023,0.0034,0.0005,0.0013,0.002,Florida,2026-06-10
Desoto,12027,0.0,0.0,0.0,0.0,Florida,2026-06-10
Dixie,12029,0.0012,0.0049,0.0049,0.0049,Florida,2026-06-10
Duval,12031,0.0,0.0,0.0,0.0,Florida,2026-06-10
Escambia,12033,0.0089,0.007,0.0074,0.0078,Florida,2026-06-10
Flagler,12035,0.0002,0.0002,0.0002,0.0002,Florida,2026-06-10
Franklin,12037,0.0,0.0,0.0,0.0,Florida,2026-06-10
Gadsden,12039,0.0,0.0,0.0,0.0,Florida,2026-06-10
Gilchrist,12041,0.0001,0.0003,0.0003,0.0003,Florida,2026-06-10
Glades,12043,0.0,0.0,0.0,0.0,Florida,2026-06-10
Gulf,12045,0.1193,0.0595,0.0595,0.0595,Florida,2026-06-10
Hamilton,12047,0.029,0.0191,0.0191,0.0191,Florida,2026-06-10
Hardee,12049,0.0,0.0,0.0,0.0,Florida,2026-06-10
Hendry,12051,0.0029,0.0012,0.0013,0.0013,Florida,2026-06-10
Hernando,12053,0.0011,0.0008,0.0009,0.001,Florida,2026-06-10
Highlands,12055,0.0,0.0,0.0,0.0,Florida,2026-06-10
Hillsborough,12057,0.0,0.0,0.0,0.0,Florida,2026-06-10
Holmes,12059,0.0029,0.0011,0.0011,0.0011,Florida,2026-06-10
Indian River,12061,0.2723,0.1091,0.1133,0.1175,Florida,2026-06-10
Jackson,12063,0.0006,0.0004,0.0004,0.0004,Florida,2026-06-10
Jefferson,12065,0.0,0.0,0.0,0.0,Florida,2026-06-10
Lafayette,12067,0.0087,0.008,0.008,0.008,Florida,2026-06-10
Lake,12069,0.0042,0.0026,0.0026,0.0026,Florida,2026-06-10
Lee,12071,0.0068,0.0019,0.002,0.0021,Florida,2026-06-10
Leon,12073,0.0,0.0,0.0,0.0,Florida,2026-06-10
Levy,12075,0.0006,0.0004,0.0004,0.0004,Florida,2026-06-10
Liberty,12077,0.0006,0.0012,0.0012,0.0012,Florida,2026-06-10
Madison,12079,0.0001,0.0001,0.0001,0.0001,Florida,2026-06-10
Manatee,12081,0.0025,0.0008,0.001,0.0012,Florida,2026-06-10
Marion,12083,0.0031,0.0035,0.0035,0.0035,Florida,2026-06-10
Martin,12085,0.0102,0.0009,0.0014,0.0019,Florida,2026-06-10
Miami-Dade,12086,0.0065,0.0019,0.0027,0.0036,Florida,2026-06-10
Monroe,12087,0.0,0.0,0.0,0.0,Florida,2026-06-10
Nassau,12089,0.0012,0.0015,0.0015,0.0015,Florida,2026-06-10
Okaloosa,12091,0.0023,0.0008,0.0024,0.0039,Florida,2026-06-10
Okeechobee,12093,0.0,0.0,0.0,0.0,Florida,2026-06-10
Orange,12095,0.0,0.0,0.0,0.0,Florida,2026-06-10
Osceola,12097,0.0,0.0,0.0,0.0,Florida,2026-06-10
Palm Beach,12099,0.0042,0.0044,0.0048,0.0051,Florida,2026-06-10
Pasco,12101,0.001,0.0019,0.0019,0.002,Florida,2026-06-10
Pinellas,12103,0.0,0.0,0.0,0.0,Florida,2026-06-10
Polk,12105,0.0017,0.0017,0.0017,0.0017,Florida,2026-06-10
Putnam,12107,0.003,0.0006,0.0019,0.0031,Florida,2026-06-10
Santa Rosa,12113,0.0019,0.0012,0.0033,0.0054,Florida,2026-06-10
Sarasota,12115,0.0012,0.0002,0.0003,0.0003,Florida,2026-06-10
Seminole,12117,0.0081,0.0035,0.0035,0.0035,Florida,2026-06-10
St. Johns,12109,0.0,0.0,0.0,0.0,Florida,2026-06-10
St. Lucie,12111,0.0,0.0,0.0,0.0,Florida,2026-06-10
Sumter,12119,0.0002,0.0009,0.0009,0.0009,Florida,2026-06-10
Suwannee,12121,0.0184,0.0195,0.0239,0.0284,Florida,2026-06-10
Taylor,12123,0.0,0.0,0.0,0.0,Florida,2026-06-10
Union,12125,0.0043,0.0028,0.0028,0.0028,Florida,2026-06-10
Volusia,12127,0.0015,0.0004,0.0009,0.0013,Florida,2026-06-10
Wakulla,12129,0.0,0.0,0.0,0.0,Florida,2026-06-10
Walton,12131,0.0004,0.0002,0.0002,0.0002,Florida,2026-06-10
Washington,12133,0.0038,0.0008,0.0008,0.0008,Florida,2026-06-10
