County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Abbeville,45001,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Aiken,45003,0.0168,0.0087,0.0088,0.0089,South Carolina,2026-06-29
Allendale,45005,0.0175,0.0011,0.0011,0.0011,South Carolina,2026-06-29
Anderson,45007,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Bamberg,45009,0.0013,0.0009,0.0009,0.0009,South Carolina,2026-06-29
Barnwell,45011,0.0002,0.0003,0.0003,0.0003,South Carolina,2026-06-29
Beaufort,45013,0.001,0.0005,0.0005,0.0005,South Carolina,2026-06-29
Berkeley,45015,0.0134,0.0203,0.022,0.0236,South Carolina,2026-06-29
Calhoun,45017,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Charleston,45019,0.0162,0.0054,0.0288,0.0522,South Carolina,2026-06-29
Cherokee,45021,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Chester,45023,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Chesterfield,45025,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Clarendon,45027,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Colleton,45029,0.0017,0.0006,0.0008,0.001,South Carolina,2026-06-29
Darlington,45031,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Dillon,45033,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Dorchester,45035,0.003,0.0007,0.0014,0.0022,South Carolina,2026-06-29
Edgefield,45037,0.0036,0.0017,0.0017,0.0017,South Carolina,2026-06-29
Fairfield,45039,0.0003,0.0003,0.0003,0.0003,South Carolina,2026-06-29
Florence,45041,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Georgetown,45043,0.003,0.0014,0.0014,0.0015,South Carolina,2026-06-29
Greenville,45045,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Greenwood,45047,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Hampton,45049,0.0009,0.0001,0.0001,0.0001,South Carolina,2026-06-29
Horry,45051,0.0012,0.0012,0.0012,0.0012,South Carolina,2026-06-29
Jasper,45053,0.0276,0.0269,0.027,0.0271,South Carolina,2026-06-29
Kershaw,45055,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Lancaster,45057,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Laurens,45059,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Lee,45061,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Lexington,45063,0.0047,0.0024,0.0031,0.0037,South Carolina,2026-06-29
Marion,45067,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Marlboro,45069,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Mccormick,45065,0.0015,0.0007,0.0007,0.0007,South Carolina,2026-06-29
Newberry,45071,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-29
Oconee,45073,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Orangeburg,45075,0.0209,0.0057,0.0057,0.0057,South Carolina,2026-06-29
Pickens,45077,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Richland,45079,0.0033,0.0022,0.0025,0.0027,South Carolina,2026-06-29
Saluda,45081,0.0002,0.0002,0.0002,0.0002,South Carolina,2026-06-29
Spartanburg,45083,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Sumter,45085,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
Union,45087,0.0041,0.0081,0.0081,0.0081,South Carolina,2026-06-29
Williamsburg,45089,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
York,45091,0.0,0.0,0.0,0.0,South Carolina,2026-06-29
