County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Acadia,,0.0002,0.0003,0.0003,0.0003,,2026-09-04
Allen,,0.0,0.0,0.0,0.0,,2026-09-04
Ascension,,0.0,0.0,0.0,0.0,,2026-09-04
Assumption,,0.0,0.0,0.0,0.0,,2026-09-04
Avoyelles,,0.0197,0.0395,0.0395,0.0395,,2026-09-04
Beauregard,,0.0004,0.0006,0.0006,0.0006,,2026-09-04
Bienville,,0.0001,0.0001,0.0001,0.0001,,2026-09-04
Bossier,,0.0005,0.0005,0.0005,0.0005,,2026-09-04
Caddo,,0.0001,0.0001,0.0001,0.0001,,2026-09-04
Calcasieu,,<0.0001,<0.0001,<0.0001,<0.0001,,2026-09-04
Caldwell,,<0.0001,0.0002,0.0002,0.0002,,2026-09-04
Cameron,,0.0,0.0,0.0,0.0,,2026-09-04
Catahoula,,0.0862,0.1724,0.1724,0.1724,,2026-09-04
Claiborne,,0.0003,0.0003,0.0007,0.001,,2026-09-04
Concordia,,0.0136,0.0263,0.0263,0.0263,,2026-09-04
Desoto,,0.0,0.0,0.0,0.0,,2026-09-04
East Baton Rouge,,0.0,0.0,0.0,0.0,,2026-09-04
East Carroll,,0.0,0.0,0.0,0.0,,2026-09-04
East Feliciana,,0.0,0.0,0.0,0.0,,2026-09-04
Evangeline,,0.0,0.0,0.0,0.0,,2026-09-04
Franklin,,0.0001,0.0001,0.0001,0.0001,,2026-09-04
Grant,,0.0,0.0,0.0,0.0,,2026-09-04
Iberia,,0.0,0.0,0.0,0.0,,2026-09-04
Iberville,,0.0,0.0,0.0,0.0,,2026-09-04
Jackson,,0.0,0.0,0.0,0.0,,2026-09-04
Jefferson,,0.0011,0.0014,0.0014,0.0014,,2026-09-04
Jefferson Davis,,0.0001,0.0001,0.0001,0.0001,,2026-09-04
Lafayette,,0.0002,0.0002,0.0002,0.0002,,2026-09-04
Lafourche,,0.0,0.0,0.0,0.0,,2026-09-04
Lasalle,,0.0,0.0,0.0,0.0,,2026-09-04
Lincoln,,0.0,0.0,0.0,0.0,,2026-09-04
Livingston,,0.0001,0.0002,0.0002,0.0002,,2026-09-04
Madison,,0.0,0.0,0.0,0.0,,2026-09-04
Morehouse,,0.0008,0.0017,0.0017,0.0017,,2026-09-04
Natchitoches,,0.0,0.0,0.0,0.0,,2026-09-04
Orleans,,0.0014,0.002,0.002,0.002,,2026-09-04
Ouachita,,<0.0001,0.0001,0.0001,0.0001,,2026-09-04
Plaquemines,,0.0,0.0,0.0,0.0,,2026-09-04
Pointe Coupee,,0.0,0.0,0.0,0.0,,2026-09-04
Rapides,,0.0,0.0,0.0,0.0,,2026-09-04
Red River,,0.0077,0.0075,0.0183,0.029,,2026-09-04
Richland,,0.0,0.0,0.0,0.0,,2026-09-04
Sabine,,0.0006,0.0006,0.0006,0.0006,,2026-09-04
St. Bernard,,<0.0001,<0.0001,<0.0001,<0.0001,,2026-09-04
St. Charles,,0.0001,0.0001,0.0001,0.0001,,2026-09-04
St. Helena,,0.0,0.0,0.0,0.0,,2026-09-04
St. James,,0.0,0.0,0.0,0.0,,2026-09-04
St. John The Baptist,,0.0,0.0,0.0,0.0,,2026-09-04
St. Landry,,0.0003,0.0006,0.0006,0.0006,,2026-09-04
St. Martin,,0.0,0.0,0.0,0.0,,2026-09-04
St. Mary,,0.0,0.0,0.0,0.0,,2026-09-04
St. Tammany,,0.0,0.0,0.0,0.0,,2026-09-04
Tangipahoa,,0.0,0.0,0.0,0.0,,2026-09-04
Tensas,,0.0135,0.0182,0.0182,0.0182,,2026-09-04
Terrebonne,,0.0,0.0,0.0,0.0,,2026-09-04
Union,,0.0,0.0,0.0,0.0,,2026-09-04
Vermilion,,0.0001,0.0001,0.0001,0.0001,,2026-09-04
Vernon,,0.0,0.0,0.0,0.0,,2026-09-04
Washington,,0.0,0.0,0.0,0.0,,2026-09-04
Webster,,0.0,0.0,0.0,0.0,,2026-09-04
West Baton Rouge,,0.0001,0.0001,0.0001,0.0001,,2026-09-04
West Carroll,,0.0,0.0,0.0,0.0,,2026-09-04
West Feliciana,,0.0,0.0,0.0,0.0,,2026-09-04
Winn,,0.0,0.0,0.0,0.0,,2026-09-04
