County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Abbeville,45001,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Aiken,45003,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Allendale,45005,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Anderson,45007,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Bamberg,45009,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Barnwell,45011,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Beaufort,45013,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Berkeley,45015,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Calhoun,45017,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Charleston,45019,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Cherokee,45021,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Chester,45023,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Chesterfield,45025,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Clarendon,45027,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Colleton,45029,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Darlington,45031,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Dillon,45033,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Dorchester,45035,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Edgefield,45037,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Fairfield,45039,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Florence,45041,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Georgetown,45043,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Greenville,45045,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Greenwood,45047,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Hampton,45049,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Horry,45051,<0.0001,0.0001,0.0001,0.0001,South Carolina,2026-06-13
Jasper,45053,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Kershaw,45055,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Lancaster,45057,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Laurens,45059,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Lee,45061,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Lexington,45063,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Marion,45067,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Marlboro,45069,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Mccormick,45065,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Newberry,45071,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Oconee,45073,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Orangeburg,45075,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Pickens,45077,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Richland,45079,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Saluda,45081,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Spartanburg,45083,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Sumter,45085,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
Union,45087,0.0,<0.0001,<0.0001,<0.0001,South Carolina,2026-06-13
Williamsburg,45089,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
York,45091,0.0,0.0,0.0,0.0,South Carolina,2026-06-13
