County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Acadia,,0.0091,0.0097,0.0097,0.0097,,2026-08-04
Allen,,0.0152,0.0202,0.0202,0.0202,,2026-08-04
Ascension,,0.0056,0.002,0.0023,0.0026,,2026-08-04
Assumption,,0.0019,0.0009,0.0009,0.0009,,2026-08-04
Avoyelles,,<0.0001,0.0002,0.0002,0.0002,,2026-08-04
Beauregard,,0.0005,0.0006,0.0006,0.0006,,2026-08-04
Bienville,,0.0001,0.0001,0.0001,0.0001,,2026-08-04
Bossier,,0.0125,0.0005,0.0005,0.0005,,2026-08-04
Caddo,,0.0032,0.0001,0.0001,0.0001,,2026-08-04
Calcasieu,,0.0029,0.0013,0.0016,0.0019,,2026-08-04
Caldwell,,0.0015,0.0011,0.0011,0.0011,,2026-08-04
Cameron,,0.0,0.0,0.0,0.0,,2026-08-04
Catahoula,,0.0,0.0,0.0,0.0,,2026-08-04
Claiborne,,0.0084,0.0003,0.0018,0.0033,,2026-08-04
Concordia,,0.1119,0.0448,0.0448,0.0448,,2026-08-04
Desoto,,0.0,0.0,0.0,0.0,,2026-08-04
East Baton Rouge,,0.0,0.0,0.0,0.0,,2026-08-04
East Carroll,,0.0,0.0,0.0,0.0,,2026-08-04
East Feliciana,,0.0,0.0,0.0,0.0,,2026-08-04
Evangeline,,0.0,0.0,0.0,0.0,,2026-08-04
Franklin,,0.0091,0.0113,0.0113,0.0113,,2026-08-04
Grant,,0.0,0.0,0.0,0.0,,2026-08-04
Iberia,,0.0,0.0,0.0,0.0,,2026-08-04
Iberville,,0.0189,0.0103,0.0103,0.0103,,2026-08-04
Jackson,,<0.0001,0.0001,0.0001,0.0001,,2026-08-04
Jefferson,,0.0038,0.0004,0.001,0.0015,,2026-08-04
Jefferson Davis,,0.0001,0.0002,0.0002,0.0002,,2026-08-04
Lafayette,,<0.0001,0.0001,0.0001,0.0001,,2026-08-04
Lafourche,,0.001,0.0001,0.0002,0.0002,,2026-08-04
Lasalle,,0.0003,0.0003,0.0003,0.0003,,2026-08-04
Lincoln,,0.0002,0.0004,0.0004,0.0004,,2026-08-04
Livingston,,0.0068,0.0055,0.0055,0.0056,,2026-08-04
Madison,,0.0011,0.0019,0.0019,0.0019,,2026-08-04
Morehouse,,0.0019,0.0026,0.003,0.0033,,2026-08-04
Natchitoches,,0.0,0.0,0.0,0.0,,2026-08-04
Orleans,,0.0099,0.0012,0.0015,0.0017,,2026-08-04
Ouachita,,0.0065,0.0016,0.0019,0.0022,,2026-08-04
Plaquemines,,0.0063,0.0004,0.0004,0.0005,,2026-08-04
Pointe Coupee,,0.0013,0.0008,0.0008,0.0008,,2026-08-04
Rapides,,0.0,0.0,0.0,0.0,,2026-08-04
Red River,,0.1798,0.0075,0.0075,0.0075,,2026-08-04
Richland,,0.0136,0.0021,0.0021,0.0021,,2026-08-04
Sabine,,0.0152,0.0006,0.0006,0.0006,,2026-08-04
St. Bernard,,0.0023,0.0016,0.0016,0.0016,,2026-08-04
St. Charles,,0.0021,0.0002,0.0008,0.0015,,2026-08-04
St. Helena,,0.0,0.0,0.0,0.0,,2026-08-04
St. James,,0.1644,0.0286,0.0429,0.0571,,2026-08-04
St. John The Baptist,,0.0001,0.0002,0.0002,0.0002,,2026-08-04
St. Landry,,0.0062,0.0029,0.0029,0.0029,,2026-08-04
St. Martin,,0.0,0.0,0.0,0.0,,2026-08-04
St. Mary,,0.0,0.0,0.0,0.0,,2026-08-04
St. Tammany,,0.0,0.0,0.0,0.0,,2026-08-04
Tangipahoa,,0.0043,0.0012,0.0018,0.0024,,2026-08-04
Tensas,,0.0169,0.0045,0.0045,0.0045,,2026-08-04
Terrebonne,,0.0004,0.0008,0.0008,0.0008,,2026-08-04
Union,,0.117,0.0686,0.0686,0.0686,,2026-08-04
Vermilion,,0.0004,0.0003,0.0003,0.0003,,2026-08-04
Vernon,,0.0002,0.0002,0.0002,0.0002,,2026-08-04
Washington,,0.0047,0.0065,0.0065,0.0065,,2026-08-04
Webster,,0.0046,0.0023,0.0026,0.0029,,2026-08-04
West Baton Rouge,,0.0242,0.0065,0.0231,0.0398,,2026-08-04
West Carroll,,0.0,0.0,0.0,0.0,,2026-08-04
West Feliciana,,0.0,0.0,0.0,0.0,,2026-08-04
Winn,,0.0149,0.0021,0.0021,0.0021,,2026-08-04
