County,FIPS,SAIDI,LOWER_SAIFI,SAIFI,UPPER_SAIFI,State,Date
Adams,17001.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Alexander,17003.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Bond,17005.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Boone,17007.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Brown,17009.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Bureau,17011.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Calhoun,17013.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Carroll,17015.0,0.0003,0.0013,0.0013,0.0013,Illinois,2026-06-16
Cass,17017.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Champaign,17019.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Christian,17021.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Clark,17023.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Clay,17025.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Clinton,17027.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Coles,17029.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Cook,17031.0,0.0001,0.0004,0.0004,0.0004,Illinois,2026-06-16
Crawford,17033.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Cumberland,17035.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Dekalb,17037.0,<0.0001,0.0001,0.0001,0.0001,Illinois,2026-06-16
Dewitt,,0.0,<0.0001,<0.0001,<0.0001,,2026-06-16
Douglas,17041.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Dupage,17043.0,0.0001,0.0003,0.0003,0.0003,Illinois,2026-06-16
Edgar,17045.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
Edwards,17047.0,0.0,<0.0001,<0.0001,<0.0001,Illinois,2026-06-16
